filename,class,rise_time,decay_time,zcr,even_components,odd_components,spectral_centroid,spectral_irregularity
A3.wav,altowka,0.060975,0.001247,0.010000,17.624557,17.414291,1248.047062,0.751083
A4.wav,altowka,0.010680,0.000680,0.021000,24.176860,26.634764,1118.534049,0.865995
B3.wav,altowka,0.061247,0.001066,0.010000,15.741577,16.394638,1012.991358,0.774357
C4.wav,altowka,0.034059,0.000862,0.012000,10.240704,11.242453,917.585910,0.699834
Cis4.wav,altowka,0.029773,0.000884,0.012000,16.414374,16.633625,1183.997509,0.795510
Cis5.wav,altowka,0.011587,0.000590,0.037000,7.694135,8.008527,1745.564544,0.740483
cis_4.wav,altowka,0.011497,0.000771,0.017000,19.415123,19.206191,1081.030150,0.695396
D4.wav,altowka,0.040295,0.001020,0.017000,12.068875,10.410234,845.050447,0.910257
D5.wav,altowka,0.008435,0.000204,0.038000,30.187141,29.999828,1311.310107,0.728700
D_4.wav,altowka,0.020816,0.000771,0.015000,11.771275,11.580439,1080.509459,0.686178
E3.wav,altowka,0.016236,0.000635,0.018000,9.767458,9.982663,1065.158050,0.766841
E5.wav,altowka,0.010227,0.000363,0.044000,27.640085,29.200214,1344.486266,0.835854
F4.wav,altowka,0.019116,0.000658,0.015000,33.042224,34.959454,872.399539,0.900252
F5.wav,altowka,0.009705,0.000295,0.031000,39.739794,35.953911,1219.792099,0.865272
F_4.wav,altowka,0.015737,0.000612,0.016000,18.030454,19.565917,978.512147,0.805453
Fis3.wav,altowka,0.014059,0.000567,0.016000,19.925565,20.730693,842.630162,0.825049
Fis4.wav,altowka,0.015079,0.000544,0.016000,27.537974,29.649171,1024.720115,0.836213
G3.wav,altowka,0.027823,0.000839,0.018000,7.422228,6.423207,739.051205,0.924521
G4.wav,altowka,0.013810,0.000567,0.017000,24.410344,23.162475,991.021741,0.876467
G5.wav,altowka,0.010907,0.000295,0.035000,33.501591,33.961750,1453.076535,0.740006
Gis3.wav,altowka,0.028685,0.000839,0.009000,16.921068,15.336633,761.794988,0.918403
Gis4.wav,altowka,0.010068,0.000612,0.019000,27.051659,26.409189,1113.672345,0.851078
Gis5.wav,altowka,0.005964,0.000272,0.037000,33.222999,33.485816,1401.738047,0.700713
h4.wav,altowka,0.010839,0.000703,0.027000,16.049938,14.103933,1141.695181,0.857809
H5.wav,altowka,0.007347,0.000227,0.051000,32.731111,32.613022,1972.728752,0.612826
a2.wav,g_akustyczna,0.106349,0.001497,0.005000,79.017455,72.910025,585.633392,0.676999
a3.wav,g_akustyczna,0.065510,0.001315,0.010000,26.304310,26.424275,907.659825,0.900397
a4.wav,g_akustyczna,0.046757,0.000952,0.101000,28.035854,29.526434,1246.971561,0.957644
b2.wav,g_akustyczna,0.087324,0.001769,0.005000,61.295366,61.993686,663.237868,0.771515
b5.wav,g_akustyczna,0.041406,0.000363,0.136000,15.228951,15.186456,1966.863821,0.851038
c3.wav,g_akustyczna,0.063265,0.001678,0.008000,37.487663,40.438197,785.954286,0.822721
c5.wav,g_akustyczna,0.052041,0.000317,0.144500,15.459745,15.184844,1958.542873,0.806771
cis3.wav,g_akustyczna,0.051882,0.001383,0.009000,24.132112,26.806542,649.708147,0.937835
cis4.wav,g_akustyczna,0.013288,0.000884,0.060000,20.615298,19.878888,1311.333265,0.863094
cis6.wav,g_akustyczna,0.036417,0.000567,0.166000,27.308651,26.770476,1788.772765,0.927343
d3.wav,g_akustyczna,0.062472,0.000771,0.027000,23.184852,24.281947,626.486884,0.849542
d4.wav,g_akustyczna,0.055941,0.000884,0.020000,28.571430,24.212029,678.113711,1.019317
d5.wav,g_akustyczna,0.054830,0.000227,0.138000,33.037453,30.965311,1589.069487,0.929020
dis4.wav,g_akustyczna,0.049342,0.001156,0.016000,31.217558,32.080005,615.971649,0.884666
dis5.wav,g_akustyczna,0.046984,0.000431,0.096000,27.823116,28.426178,2116.334069,0.852397
e4.wav,g_akustyczna,0.083356,0.000658,0.095000,24.513389,24.513806,1727.761533,0.848813
f3.wav,g_akustyczna,0.087506,0.000884,0.008000,26.019747,27.136209,930.725525,0.800528
f4.wav,g_akustyczna,0.013651,0.000454,0.074000,20.226910,20.991021,1285.470555,0.965883
fis3.wav,g_akustyczna,0.073946,0.001179,0.009000,21.040554,19.891879,1100.457141,0.869830
g2.wav,g_akustyczna,0.088254,0.001519,0.009000,63.104325,47.148490,328.893917,0.965200
g4.wav,g_akustyczna,0.060839,0.000952,0.151000,23.298912,21.703392,1547.604352,0.861888
gis2.wav,g_akustyczna,0.085624,0.001995,0.005000,34.054041,27.682190,1371.877363,0.556719
gis4.wav,g_akustyczna,0.058866,0.000930,0.141000,21.048308,20.065772,1553.600361,0.856410
gis_4.wav,g_akustyczna,0.082268,0.001134,0.009000,31.683375,29.309385,1423.700692,0.835401
h3.wav,g_akustyczna,0.081701,0.001020,0.035000,31.020243,34.017177,1103.136968,0.989619
a2.wav,g_elektryczna,0.044422,0.000930,0.006000,22.781627,22.845826,1549.113360,0.820108
a3.wav,g_elektryczna,0.036916,0.000816,0.010000,17.181687,17.697947,2182.972513,0.809747
